ApiaryID,HiveID,InsptDate,Brood,Bees,Queen,Food,Stressors,Space
BBCC,HT103,2017-04-28,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT103,2017-05-02,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-05-02,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-05-08,1.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-05-08,1.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-05-16,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-05-16,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT103,2017-06-06,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,HT103,2017-06-06,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,HT103,2017-06-21,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,HT103,2017-06-21,0.0,0.0,0.0,0.0,0.0,0.0
BBCC,HT104,2017-03-29,0.0,0.0,0.0,1.0,1.0,1.0
BBCC,HT104,2017-03-29,0.0,0.0,0.0,1.0,1.0,1.0
BBCC,HT104,2017-04-04,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT104,2017-04-04,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT104,2017-04-10,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-04-10,0.0,0.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-04-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT104,2017-04-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT104,2017-04-28,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT104,2017-04-28,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT104,2017-05-02,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT104,2017-05-02,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT104,2017-05-08,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT104,2017-05-08,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT104,2017-05-16,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT104,2017-05-16,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT104,2017-05-25,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT104,2017-05-25,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT104,2017-06-06,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT104,2017-06-06,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT104,2017-06-12,1.0,1.0,1.0,0.0,0.0,0.0
BBCC,HT104,2017-06-12,1.0,1.0,1.0,0.0,0.0,0.0
BBCC,HT104,2017-06-21,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT104,2017-06-21,0.0,0.0,1.0,1.0,0.0,0.0
BBCC,HT104,2017-06-26,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-06-26,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-07-03,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-07-11,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-07-25,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-08-07,1.0,1.0,1.0,0.0,0.0,0.5
BBCC,HT104,2017-08-18,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT104,2017-08-24,1.0,1.0,1.0,1.0,0.0,0.5
BBCC,HT104,2017-08-30,0.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT104,2017-09-05,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT104,2017-09-13,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT105,2016-04-27,0.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT105,2016-07-27,1.0,1.0,0.0,1.0,0.0,0.0
BBCC,HT105,2016-08-01,1.0,1.0,1.0,1.0,0.0,0.0
